zip,compid,compname,comrate,indrate,resrate
83250,09191,Idaho Power Co.,43.18,34.12,59.12
79058,17718,Southwestern Public Service Co.,76.73,54.1,82.84
76834,20404,AEP Texas North Co.,0,0,0
27258,05416,Duke Power Co.,63.62,44.52,78.13
34731,06455,Florida Power Corp.,95.25,83.1,117.91
65257,10000,Kansas City Power & Light Co.,60.27,46.48,71
07446,16213,Rockland Electric Co.,112.9,109.06,119.7
33813,18454,Tampa Electric Co.,96.85,76.54,109.71
43320,13998,Ohio Edison Co.,100.63,59.53,104.78
44125,03755,Cleveland Electric Illuminating Co.,111.47,66.68,107.92
27573,03046,Carolina Power & Light Co.,74.34,57.46,90.23
75155,A3483,Oncor Electric Delivery Co.,0,0,0
83554,14354,PacifiCorp.,59.39,40.36,69.43
18644,19390,"UGI Utilities, Inc.",90.78,75.54,94.85
06016,04176,Connecticut Light & Power Co.,148.18,124.12,174.86
88135,17718,Southwestern Public Service Co.,76.73,54.1,82.84
24607,00733,Appalachian Power Co.,52.6,36.59,58.52
79252,20404,AEP Texas North Co.,0,0,0
12740,03249,Central Hudson Gas & Electric Corp.,101.2,76.59,128.26
62983,03253,Central Illinois Public Services Co.,63.43,39.23,72.64
49836,19578,Upper Peninsula Power Co.,115.43,73.07,137.87
74647,10005,"KGE, A Westar Energy Co.",64.39,43.65,76.92
74354,05860,Empire District Electric Co.,74.74,56.59,83.94
39825,07140,Georgia Power Co.,76.3,54.04,88.77
06438,04176,Connecticut Light & Power Co.,148.18,124.12,174.86
40162,10171,Kentucky Utilities Co.,57.83,45.19,60.29
98512,15500,"Puget Sound Energy, Inc.",80.14,75.83,74.95
19030,14940,PECO Energy Co.,121.2,81.88,139.07
24974,12796,Monongahela Power Co.,59.39,41.09,72.5
12123,13511,New York State Electric & Gas Corp.,122.51,72.49,137.79
71051,03265,Cleco Power LLC,103.71,77.5,110.06
97058,14354,PacifiCorp.,59.39,40.36,69.43
86404,00803,Arizona Public Service Co.,87.13,61.11,98.47
90250,17609,Southern California Edison Co.,144.53,119.66,157.72
12507,03249,Central Hudson Gas & Electric Corp.,101.2,76.59,128.26
50862,09162,Interstate Power & Light Co.,0,0,0
42354,10171,Kentucky Utilities Co.,57.83,45.19,60.29
88314,40051,Texas-New Mexico Power Co.,115.08,59.11,111.25
21005,01167,Baltimore Gas & Electric Co.,115.95,100.28,85.21
52247,12341,MidAmerican Energy Co.,65.04,40.61,86.15
41619,22053,Kentucky Power Co.,67.59,42.47,64.98
51523,12341,MidAmerican Energy Co.,65.04,40.61,86.15
14012,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
62644,03252,Central Illinois Light Co.,65.82,52,69.39
71854,17698,Southwestern Electric Power Co.,58.87,47.59,72.21
71373,11241,"Entergy Louisiana, Inc.",93.77,63.43,92.2
22716,15263,Potomac Edison Co.,80.14,52.31,69.2
97111,15248,Portland General Electric Co.,75.02,58.26,82.88
06776,04176,Connecticut Light & Power Co.,148.18,124.12,174.86
58563,12819,Montana Dakota Utilities Co.,0,0,0
02051,04089,Commonwealth Electric Co.,172.95,163.03,195.27
44040,03755,Cleveland Electric Illuminating Co.,111.47,66.68,107.92
34142,06452,Florida Power & Light Co.,106.06,88.71,119
91103,17609,Southern California Edison Co.,144.53,119.66,157.72
08093,15477,Public Service Electric and Gas Co.,112.66,78.12,127.91
17728,14715,PPL Electric Utilities Corp.,88.12,63.17,94.63
10017,04226,Consolidated Edison Co. Of New York Inc.,183.69,168.22,209
50168,12341,MidAmerican Energy Co.,65.04,40.61,86.15
94018,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
36323,00195,Alabama Power Co.,81.85,49.23,89.32
48910,04254,Consumers Energy Co.,84.9,65.38,95.35
96061,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
73064,14063,Oklahoma Gas & Electric Co. (OG&E),66.14,48.58,80.16
61006,04110,Commonwealth Edison Co.,76.48,55.66,86.59
77454,08901,"CenterPoint Energy Houston Electric, LLC",0,0,0
70809,07806,"Entergy Gulf States, Inc.",100.28,76.33,110.31
33541,06455,Florida Power Corp.,95.25,83.1,117.91
02885,11804,Massachusetts Electric Co.,160.29,159.57,154.32
25148,00733,Appalachian Power Co.,52.6,36.59,58.52
59803,12825,"Clark Fork & Blackfoot, LLC",83.97,62.87,89.42
92059,16609,San Diego Gas & Electric Co.,144.57,111.44,168.89
01879,15472,PSC of New Hampshire,136.75,128.88,151.42
29053,17539,South Carolina Electric & Gas Co.,78.48,50.81,98.64
07834,09726,Jersey Central Power & Light Co.,121.26,113.99,126.4
64505,22500,Westar Energy Inc.,0,0,0
72663,00814,"Entergy Arkansas, Inc.",71.81,57.46,92.02
13469,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
93022,17609,Southern California Edison Co.,144.53,119.66,157.72
30218,07140,Georgia Power Co.,76.3,54.04,88.77
43456,13998,Ohio Edison Co.,100.63,59.53,104.78
28730,05416,Duke Power Co.,63.62,44.52,78.13
30573,07140,Georgia Power Co.,76.3,54.04,88.77
18636,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
07885,09726,Jersey Central Power & Light Co.,121.26,113.99,126.4
53209,20847,Wisconsin Electric Power Co.,89.44,58.91,106.79
28040,05416,Duke Power Co.,63.62,44.52,78.13
28602,05416,Duke Power Co.,63.62,44.52,78.13
62027,03253,Central Illinois Public Services Co.,63.43,39.23,72.64
32502,07801,Gulf Power Co.,79.83,61.94,94.18
40243,11249,Louisville Gas & Electric Co.,60.72,43.68,67.58
86502,00803,Arizona Public Service Co.,87.13,61.11,98.47
74343,05860,Empire District Electric Co.,74.74,56.59,83.94
60420,04110,Commonwealth Edison Co.,76.48,55.66,86.59
83001,14354,PacifiCorp.,59.39,40.36,69.43
14224,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
08008,09726,Jersey Central Power & Light Co.,121.26,113.99,126.4
20723,01167,Baltimore Gas & Electric Co.,115.95,100.28,85.21
60954,04110,Commonwealth Edison Co.,76.48,55.66,86.59
56013,09162,Interstate Power & Light Co.,0,0,0
75763,17699,TXU SESCO Co.,0,0,0
02632,04089,Commonwealth Electric Co.,172.95,163.03,195.27
12533,13511,New York State Electric & Gas Corp.,122.51,72.49,137.79
62526,09208,Illinois Power Co.,73.39,46.63,77.12
41861,22053,Kentucky Power Co.,67.59,42.47,64.98
71001,11241,"Entergy Louisiana, Inc.",93.77,63.43,92.2
55797,12647,"Minnesota Power, Inc.",62.41,41.45,70.69
92603,17609,Southern California Edison Co.,144.53,119.66,157.72
20779,01167,Baltimore Gas & Electric Co.,115.95,100.28,85.21
61376,04110,Commonwealth Edison Co.,76.48,55.66,86.59
30446,17539,South Carolina Electric & Gas Co.,78.48,50.81,98.64
15238,20387,West Penn Power Co.,61.26,47.16,71.66
05674,07601,Green Mountain Power Corp.,109.59,75.73,132.56
41080,19446,"Union Light, Heat & Power Co.",58.63,51.25,64.79
62712,03252,Central Illinois Light Co.,65.82,52,69.39
14621,16183,Rochester Gas & Electric Corp.,112.31,81.74,117.07
54302,20860,Wisconsin Public Service Corp.,76.39,46.96,108.51
43035,04062,Columbus Southern Power Co.,68.9,51.29,87.05
35594,00195,Alabama Power Co.,81.85,49.23,89.32
83874,20169,Avista Corp.,72.22,45.09,65.6
77094,08901,"CenterPoint Energy Houston Electric, LLC",0,0,0
96027,14354,PacifiCorp.,59.39,40.36,69.43
06784,04176,Connecticut Light & Power Co.,148.18,124.12,174.86
77092,08901,"CenterPoint Energy Houston Electric, LLC",0,0,0
55001,13781,Northern States Power Co.,69.79,57.42,89.95
56138,13781,Northern States Power Co.,69.79,57.42,89.95
01430,15472,PSC of New Hampshire,136.75,128.88,151.42
58577,12819,Montana Dakota Utilities Co.,0,0,0
13036,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
62568,03253,Central Illinois Public Services Co.,63.43,39.23,72.64
64856,05860,Empire District Electric Co.,74.74,56.59,83.94
35176,00195,Alabama Power Co.,81.85,49.23,89.32
27217,05416,Duke Power Co.,63.62,44.52,78.13
24881,00733,Appalachian Power Co.,52.6,36.59,58.52
85256,00803,Arizona Public Service Co.,87.13,61.11,98.47
44030,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
51459,09162,Interstate Power & Light Co.,0,0,0
26269,12796,Monongahela Power Co.,59.39,41.09,72.5
27256,03046,Carolina Power & Light Co.,74.34,57.46,90.23
81635,15466,PSC of Colorado,74.07,58.3,88.42
61019,20856,Wisconsin Power & Light Co.,94.62,65.6,110.81
04658,01179,Bangor Hydro-Electric Co.,0,0,0
19355,14940,PECO Energy Co.,121.2,81.88,139.07
49644,04254,Consumers Energy Co.,84.9,65.38,95.35
49781,05659,Edison Sault Electric Co.,66.21,52.34,73.56
46280,15470,"Duke Energy Indiana, Inc.",66.42,49.77,81.92
83602,09191,Idaho Power Co.,43.18,34.12,59.12
95325,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
99117,20169,Avista Corp.,72.22,45.09,65.6
74301,15474,PSC of Oklahoma,74.19,58.93,84.1
30738,07140,Georgia Power Co.,76.3,54.04,88.77
19073,14940,PECO Energy Co.,121.2,81.88,139.07
43735,14006,Ohio Power Co.,63.8,43.58,75.25
93205,17609,Southern California Edison Co.,144.53,119.66,157.72
45673,04062,Columbus Southern Power Co.,68.9,51.29,87.05
44236,13998,Ohio Edison Co.,100.63,59.53,104.78
34243,06452,Florida Power & Light Co.,106.06,88.71,119
90038,17609,Southern California Edison Co.,144.53,119.66,157.72
43140,04922,Dayton Power & Light Co.,75.88,63.79,94.01
64834,05860,Empire District Electric Co.,74.74,56.59,83.94
41033,19446,"Union Light, Heat & Power Co.",58.63,51.25,64.79
35004,00195,Alabama Power Co.,81.85,49.23,89.32
22230,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
48152,05109,Detroit Edison Co.,85.32,59.4,102.07
93263,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
71853,17698,Southwestern Electric Power Co.,58.87,47.59,72.21
75706,17698,Southwestern Electric Power Co.,58.87,47.59,72.21
94569,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
93631,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
41099,19446,"Union Light, Heat & Power Co.",58.63,51.25,64.79
16731,16183,Rochester Gas & Electric Corp.,112.31,81.74,117.07
61501,03253,Central Illinois Public Services Co.,63.43,39.23,72.64
62362,03253,Central Illinois Public Services Co.,63.43,39.23,72.64
03076,26510,Granite State Electric Co.,106.11,104.12,125.3
67570,22500,Westar Energy Inc.,0,0,0
33711,06455,Florida Power Corp.,95.25,83.1,117.91
01009,11804,Massachusetts Electric Co.,160.29,159.57,154.32
78118,03278,AEP Texas Central Co.,0,0,0
78382,03278,AEP Texas Central Co.,0,0,0
15639,20387,West Penn Power Co.,61.26,47.16,71.66
30818,07140,Georgia Power Co.,76.3,54.04,88.77
01242,11804,Massachusetts Electric Co.,160.29,159.57,154.32
35954,00195,Alabama Power Co.,81.85,49.23,89.32
93619,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
65080,19436,Union Electric Co.,56.56,41.72,69.64
95365,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
13035,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
61042,04110,Commonwealth Edison Co.,76.48,55.66,86.59
38645,12685,"Entergy Mississippi, Inc.",102.61,80.37,105.3
52720,09162,Interstate Power & Light Co.,0,0,0
54174,20856,Wisconsin Power & Light Co.,94.62,65.6,110.81
07068,15477,Public Service Electric and Gas Co.,112.66,78.12,127.91
92004,16609,San Diego Gas & Electric Co.,144.57,111.44,168.89
27972,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
31050,07140,Georgia Power Co.,76.3,54.04,88.77
41174,14006,Ohio Power Co.,63.8,43.58,75.25
45236,03542,Cincinnati Gas & Electric Co.,83.68,62.01,94.67
21659,05027,Delmarva Power & Light Co.,103.72,58.26,118.69
17020,14715,PPL Electric Utilities Corp.,88.12,63.17,94.63
01368,15472,PSC of New Hampshire,136.75,128.88,151.42
35654,00195,Alabama Power Co.,81.85,49.23,89.32
31565,07140,Georgia Power Co.,76.3,54.04,88.77
31705,07140,Georgia Power Co.,76.3,54.04,88.77
51446,12341,MidAmerican Energy Co.,65.04,40.61,86.15
71061,17698,Southwestern Electric Power Co.,58.87,47.59,72.21
39407,12686,Mississippi Power Co.,81.56,51.04,101.26
02066,11804,Massachusetts Electric Co.,160.29,159.57,154.32
24460,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
48849,04254,Consumers Energy Co.,84.9,65.38,95.35
26520,12796,Monongahela Power Co.,59.39,41.09,72.5
01106,11804,Massachusetts Electric Co.,160.29,159.57,154.32
43777,14006,Ohio Power Co.,63.8,43.58,75.25
15442,20387,West Penn Power Co.,61.26,47.16,71.66
25650,00733,Appalachian Power Co.,52.6,36.59,58.52
99037,20169,Avista Corp.,72.22,45.09,65.6
77346,08901,"CenterPoint Energy Houston Electric, LLC",0,0,0
46250,09273,Indianapolis Power & Light Co.,78.31,55.76,72.34
20678,01167,Baltimore Gas & Electric Co.,115.95,100.28,85.21
04488,03266,Central Maine Power Co.,129.63,0,144.58
02839,13214,Narragansett Electric Co.,136.93,127.63,150.98
81077,12698,Aquila Inc.,68.63,52.06,84.81
55116,13781,Northern States Power Co.,69.79,57.42,89.95
40979,22053,Kentucky Power Co.,67.59,42.47,64.98
28670,05416,Duke Power Co.,63.62,44.52,78.13
05678,07601,Green Mountain Power Corp.,109.59,75.73,132.56
94516,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
20740,15270,Potomac Electric Power Co.,116.6,0,116.65
41017,19446,"Union Light, Heat & Power Co.",58.63,51.25,64.79
56279,14232,Otter Tail Power Co.,64.49,50.72,74.26
75605,17698,Southwestern Electric Power Co.,58.87,47.59,72.21
19504,12390,Metropolitan Edison Co.,82.19,64.62,93.56
05456,07601,Green Mountain Power Corp.,109.59,75.73,132.56
17051,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
99348,14354,PacifiCorp.,59.39,40.36,69.43
75489,40051,Texas-New Mexico Power Co.,115.08,59.11,111.25
33010,06452,Florida Power & Light Co.,106.06,88.71,119
30530,07140,Georgia Power Co.,76.3,54.04,88.77
75601,17698,Southwestern Electric Power Co.,58.87,47.59,72.21
17737,14715,PPL Electric Utilities Corp.,88.12,63.17,94.63
54156,20860,Wisconsin Public Service Corp.,76.39,46.96,108.51
49451,04254,Consumers Energy Co.,84.9,65.38,95.35
58646,12819,Montana Dakota Utilities Co.,0,0,0
85540,12919,Morenci Water & Electric Co.,0,0,0
75094,A3483,Oncor Electric Delivery Co.,0,0,0
06705,04176,Connecticut Light & Power Co.,148.18,124.12,174.86
29511,03046,Carolina Power & Light Co.,74.34,57.46,90.23
25031,00733,Appalachian Power Co.,52.6,36.59,58.52
06063,04176,Connecticut Light & Power Co.,148.18,124.12,174.86
32738,06455,Florida Power Corp.,95.25,83.1,117.91
